prediction	reference
ik gie t fan henk	Ik hjit fan Henk.
ik sjoch him leaver fan efteren as fan foarren	Ik sjoch him leaver fan efteren as fan foaren.
hy is yn easterein hikke en teine	Hy is yn Easterein hikke en tein.
sokke snijblommen steane net lang	Sokke snijblommen steane net lang.
de húshâldingsbegelieder komt op syn minst ien kear wyks by in thús d	De húshâldingsbegelieder komt op syn minst ien kear wyks by jin thús.
stjoer email troch	Stjoer e-mail troch.
der wie in kreampe dêrt te kuierders at ite of drinke koene	Der wie in kreamke dêr't de kuierders wat ite of drinke koene.
it is dêr yn de húshâlding altyd san tobberij	It is dêr yn dy húshâlding altyd sa'n tobberij.
hja fielt dat hja roppen is ta te letten en begjint te skriuwen	Hja fielt dat hja roppen is ta de letteren en begjint te skriuwen.
se ferfde lippen red en se sjocht der moaier út as oars	Sy fervet de lippen read en se sjocht der moaier út as oars.
in loads fan in bedriuw gong âld neis jûn yn flammen op	In loads fan it bedriuw gie âldjiersjûn yn flammen op.
	By de omrop stie ik oanskreaun as saakkundige foar East-Europa.
ik bin bang dat it graach gjin spûn hie	Ik bin bang dat it raar jern spûn hie.
wy binne in bytsje letter	Wy binne in bytsje letter.
de meldingen kamen it ôfrûne jier binn	De meldingen kamen it ôfrûne jier binnen.
ik fiel my net hielendal hûndert persinthjûn	Ik fiel my net hielendal hûndert persint jûn.
do bist sa wyt as in lyk	Do bist sa wyt as in lyk.
it is de bedoeling dat yn de takomst it oanbod oan aktiviteiten útwreide wurdt	It is de bedoeling dat yn 'e takomst it oanbod oan aktiviteiten útwreide wurdt.
	It byld fan it berntsje Jezus leit sûnt tiisdei wer yn de kryststâl.
	Nei fjouwer oere nachts meie der gjin minsken mear yn litten wurde.
	Hy gie fuortdaliks yn berop en dêrnei sil er yn kassaasje gean.
under it lange slûke en glêde dekhier leit it sêfte ûnderhier	Under it lange, slûke en glêde dekhier leit it sêfte ûnderhier.
toelberet skjinmeitsje	Doelberet skjinmeitsje.
de keuken is it klopjend hart fan it hûs	De keuken is it klopjend hart fan it hûs.
ik ha der gjin beswier tsjin	Ik ha der gjin beswier tsjin.
dy hege priis wurdt oan de konsuminten trochberekkene	Dy hege priis wurdt oan de konsuminten trochberekkene.
hy krige acht minuten foar tiid noch in reade kaart	Hy krige acht minuten foar tiid noch in reade kaart.
yn ús studintetiid steene wy by nacht en oantiid byinoar op e stûpe	Yn ús studintetiid stiene wy by nacht en ûntiid byinoar op 'e stoepe.
sykje jo om in oplossing dyt klear is om te brûken	Sykje jo om in oplossing dy't klear is om te brûken?
it filmsenarjopskriuwt de filmspilers fan minút ta minút foar wat se dwaan moatte	It filmsenario skriuwt de filmspilers fan minút ta minút foar wat se dwaan moatte.
allengearre lyts dinkjes kinne de útslach fan de ferkiesings bepale	Allegearre lytse dinkjes kinne de útslach fan de ferkiezings bepale.
hy hat tongersdei mar koart meitraind omdat er wat siek is	Hy hat tongersdei mar koart meitraind omdat er wat siik is.
dit opfangsintrum foar asylsikers leit ûnderâne fan it keunderbos	Dit opfangsintrum foar asylsikers leit oan de râne fan it Kúnderbosk.
de opbringsten wienen yn in pear gefallen wol twa kear sa heech	De opbringsten wiene yn in pear gefallen wol twa kear sa heech.
it wie in dregetied mei in soad lange dagen en koarte nachten	It wie in drege tiid, mei in soad lange dagen en koarte nachten.
de kuier sil duorje oant likernôch fjouwer oere	De kuier sil duorje oant likernôch fjouwer oere.
de stikken foar de gearkomste fan tiisdei krijst meastiid saterdeis	De stikken foar de gearkomste fan tiisdei krijst meast saterdeis.
in koart fan alle friezen yn nederlân wennet bûten fryslân	In kwart fan alle Friezen yn Nederlân wennet bûten Fryslân.
ik kin it satede de hiele dee	Ik kin saterdei de hiele dei.
al soenen se my deadwaan ik wit it net	Al soene se my dea dwaan, ik wit it net.
it kin net altyd fan ien kant komme	It kin net altyd fan ien kant komme.
dat sil yn de rin fan dit programma bliken dwaan	Dat sil yn de rin fan dit programma bliken dwaan.
it binne minder de kommintaren as wol de sensaasjeferhalen dyt de oandacht lûke	It binne minder de kommentaren as wol de sensaasjeferhalen dy't de oandacht lûke.
as it skiplek is gean de rotten oan board	As it skip lek is, geane de rotten oan board.
ik ynvestearje yn de technology fan moarn en dat sil him útbetelje	Ik ynvestearje yn de technology fan moarn en dat sil him útbetelje.
ik kin de sjury goed begripe	Ik kin de sjuery goed begripe.
troch de gearwurking sil de produksje mooglik ferdûbelje oant ferfjouwer fâldigje	Troch de gearwurking sil de produksje mooglik ferdûbelje oant ferfjouwerfâldigje.
ik muoat jir wei hear	Ik moat hjir wei, hear.
fan moarns of kinne jo hjirtsje rjochte foar in kop kofje f	Fan moarns ôf kinne jo hjir terjochte foar in kop kofje.
dat is fan minder belang	Dat is fan minder belang.
it medisyn is djoer en moat frijlang ynnommen wurde wol it effektyf wêze	It medisyn is djoer en moat frij lang ynnommen wurde, wol it effektyf wêze.
snortjonges fan achttjin jier raze op skûters en brommens troch de buorren	Snotjonges fan achttjin jier raze op scooters en brommers troch de bruorren.
de arbeiders steane yn e tún mei triljende en gromjende boaren pikhammers en brekizers	De arbeiders steane yn it pún mei triljende en gromjende boaren, pikhammers en brekizers.
it is net de earste gear dat frankryk it opnimt tsjin it ingelsk	It is net de earste kear dat Frankryk it opnimt tsjin it Ingelsk.
nimmen hat in biologyske klok mei in deilingte fan presyzj fjouwerentweintich oeren	Nimmen hat in biologyske klok mei in deilingte fan persiis fjouwerentweintich oeren.
it skip is wer yn e feart	It skip is wer yn 'e feart.
hy lit him der neate ûngelegen lizze	Hy lit him der neat oan gelegen lizze.
oansalarisdiskriminaasje foan froulju moat der einmakke wurde	Oan salarisdiskriminaasje fan froulju moat in ein makke wurde.
ik soe sizze litte y minsken allegeare not wat om ta geane	Ik soe sizze lit dy minsken allegear nei Rottum ta gean.
by de gemeente binne gjin klachtenpinnika	By de gemeente binne gjin klachten binnen kaam.
ik wit noch nea net wat ik oal him haw	Ik wit noch nea net wat ik oan him haw.
de iene kear waskest de fuotten wol en de oare kear net	De iene kear waskest de fuotten wol en de oare kear net.
neffens him is nederlân te lyts foar dit soarte ferinisjativen	Neffens him is Nederlân te lyts foar dit soarte fan inisjativen.
hy sil dêrkwol net moaier op wurde wenze	Hy sil der ek wol net moaier op wurden wêze.
myn namme is hopkins	Myn namme is Hopkins.
sa ticht ha ik dêr noch noait by stean	Sa ticht ha ik der noch noait by stien.
dyn eks hat ik al wer wat oanthantsje	Dyn eks hat ek al wer wat oan 't hantsje.
ik tink dat de lju op t heden te folle omhannen hawwe	Ik tink dat de lju op 't heden te folle om hannen hawwe.
kiene je ferwachte dat jo útsocht wurde soene foar dit boekewike geskink	Hiene je ferwachte dat jo útsocht wurde soene foar dit boekewikegeskink?
elkenien seit ek dat ik der safoleste better út sjoch as in wike lyn	Elkenien seit ek dat ik der safolleste better útsjoch as in wike lyn.
benammen yn e nacht fan saterdei op snein gie it need	Benammen yn de nacht fan saterdei op snein gie it need.
hy wit wat him te wachtsjen stiet ast er te fier giet	Hy wit wat him te wachtsjen stiet as er te fier giet.
ik bin berne yn it hielâl yn it einleaze fan tiid en rûmte	Ik bin berne yn it Hielal, yn it einleaze fan tiid en rûmte.
it bestjoer fan de feriening wol de kapasiteit fan i tal toerriders útwreidsje	It bestjoer fan de feriening wol de kapasiteit fan it tal toerriders útwreidzje.
hy krige oan de ein fan moandeitemiddei te hearren dat er fuort moast	Hy krige oan de ein fan moandeitemiddei te hearren dat er fuort moast.
ofrûne saterdeitemiddei hat in grut part fan it doarp in skoftlang sûnder stroom sitten	Ofrûne saterdeitemiddei hat in grut part fan it doarp in skoftlang sonder stroom sitten.
it spul kin binnen en bûtendoar spile wurde en it is middei foljend	It spul kin binnen- en bûtendoar spile wurde en is middeifoljend.
de delokaasje fenfangt it âlde plak dat bol ferâldere is en tichgiet	De nije lokaasje ferfangt it âlde plak, dat bot ferâldere is en tichtgiet.
ik fiel my goed	Ik fiel my goed.
it yntervor wurdt net publisearre sûnder dat er de eintekst goed kard hat	It ynterview wurdt net publisearre sûnder dat er de eintekst goedkard hat.
de stikken foar de geerkomstigen tiisdei krijst meast saterdeis	De stikken foar de gearkomste fan tiisdei krijst meast saterdeis.
wy litte se fan tefoeren it hele kompleks even sjen	We litte se fan tefoaren it hele kompleks even sjen.
it is it moaiste kado dat hja him jaan kin	It is it moaiste kado dat hja him jaan kin.
ik kin dy hiele man net	Ik ken dy hiele man net.
pylk nei boppen ta	Pylk nei boppen ta.
der spile my wat oars troch de holle	Der spile my wat oars troch de holle.
der binne ek foarskriften dêrt hanneles oan fuoet dwaan moatte	Der binne ek foarskriften dêr't hannelers oan foldwaan moatte.
ik ha dêr sels gjin eaan fan hoet hja derút sjocht	Ik ha der sels gjin aan fan hoe't hja derút sjocht.
ik ha der gjin wurden foar ik rin oel fan tangberens	Ik ha der gjin wurden foar, ik rin oer fan tankberens.
as foar de goede saak yn in sel sitte moat doe dan mar	At se foar de goeie saak yn in sel sitte moat, toe dan mar.
wy wenje bûten de beboude kommen	Wy wenje bûten de beboude kom.
de plysje hat it wapen yn it hûs wûn en yn beslach naam	De polysje hat it wapen yn it hús fûn en yn beslach naam.
neo ei j woes sjen	Der sitte trettjin minsken om dizze tafel en der komme noch in pear by.
papa	Sjoch op 'e aksjeferpakking, folje dyn unike winkoade yn en doch mei!
as ik jild hied soe ik it kea troech kinne	As ik jild hie, soe ik it keapje kinne.
natit at it net	Ik bin syn adres kwyt, mar ik wit dat er hjirearne wenje moat.
it offisjele startskot foar de ferbouwing waard moandeitemoarn jûn	It offisjele startskot foar de ferbouwing waard moandeitemoarn jûn.
allinne dat feestal koste san oare molijoen euro	Allinne dat feest al koste sa'n oardel miljoen euro.
de útslaande brân brut s om healgei sânen út	De útslaande brân bruts om healwei sânen út.
ik seach mei grutte eagen nei de persoanen yn fonkelende gewaden	Ik seach mei grutte eagen nei de persoanen yn fonkeljende gewaden.
hja hiel heel faak bearen sjoen mar oan tan ta nea in grizzlje h	Hja hie al hiel faak bearen sjoen, mar oant dan ta nea in grizzly.
ik soe graach oanjeafter dwaan wolle fan stellerij	Ik soe graach oanjefte dwaan wolle fan stellerij.
de druk liket dêrmei foarreast fan de tsjettel	De druk liket dêrmei foarearst fan 'e tsjettel.
wy witte noch net krekt hoelang it wy bliuwe sille	Wy witte noch net krekt hoe lang at wy bliuwe sille.
hy hie in baan dronk amper of neat en hy betelle syn skulden ôf	Hy hie in baan, dronk amper of neat en hy betelle syn skulden ôf.
hoe moatte wy de ekonomyske krisis de halle wierde	Hoe moatte wy de ekonomyske krisis de holle biede?
fandalen binneal fjouwer wiken lang op sloperspaad	Fandalen binne al fjouwer wiken lang op sloperspaad.
uteringsfrijheid hâldt net in ûnbehein trjocht op misledicheid yn	Uteringsfrijheid hâldt net in ûnbeheind rjocht op misledigjen yn.
de diken kinne net breder makke wurde want der is gjin rûmte foar	De diken kinne net breder makke wurde, want dêr is gjin romte foar.
hy fielde him net by machte om in tij te kearen	Hy fielde him net by machte om it tij te kearen.
fan e moarn healwei alven wiene de measte filurs oplost	Om fan 'e moarn healwei alven hinne wiene de measte files oplost.
de direkteur wol trochfjochtsje foar in werstad fan it fabryk	De direkteur wol trochfjochtsje foar in werstart fan it fabryk.
stet hûes	Stedhûs.
dat hie net wêze moatten en it muoit my tige	Dat hie net wêze moatten en it muoit my tige.
dat is moai foar de feansters	Dat is moai foar de Feansters.
not ik âld bin draach dêr de gefolgen fan	No't ik âld bin draach ik dêr de gefolgen fan.
yn de alle iuwen haw w ynken beuversd	Yn alle iuwen hawwe de minsken bang west foar sykten.
binne alle talen werom te lieden op ien oer talen	Binne alle talen werom te lieden op ien oertaal?
miskien wachte tilly op in wurd of teken fan dy om frede te sluten	Miskien wachtet Tilly op in wurd of teken fan dy om frede te sluten.
by dat minne waar holden de âlde lju de bearn thús	By dat minne waar holden de âldelju de bern thús.
de fertochte is ferheard en wer op frije fuotten steld	De fertochte is ferheard en wer op frije fuotten steld.
hy makket him net drok oer wat syn opfolger wurdt	Hy makket him net drok oer wa't syn opfolger wurdt.
de konservator fan it museum hat de wurken útsocht	De konservator fan it museum hat de wurken útsocht.
ik ha gjin fakânsje plannen	Ik ha gjin fakânsjeplannen.
it eilân suchte ûnder de kriminaliteit	It eilân suchte ûnder de kriminaliteit.
der komt neat fan op e haspel	Der komt neat fan op 'e haspel.
yn e rein stiet de man it wied te hiar op e foarholle plakt	Yn 'e rein stiet in man, it wiete hier op 'e foarholle plakt.
dat hinget ôfu fan de kontekst	Dat hinget ôf fan de kontekst.
wikselje nei it foarige finster	Wikselje nei it foarige finster.
wikselje nei it foarige finster	Wikselje nei it foarige finster.
in foarbygonger seach de man op strjitte lizzen en waskôge de help tsjinsten	In foarbygonger seach de man op strjitte lizzen en warskôge de helptsjinsten.
hy hat te lang omrûn mei dat probleem	Hy hat te lang omrûn mei dat probleem.
ik ha gjin fakânsjeplannen	Ik ha gjin fakânsjeplannen.
de feestdagen steane foar de doar en it hearlik jûntsje is kommen	De feestdagen steane foar de doar en it hearlik jûntsje is kommen.
it bestriden fan de oerlêst falt ôf	It bestriden fan de oerlêst falt ôf.
de bungolo spiele plak oan skan twahûndert fyftich assyltsikers	De bungalows biede plak oan sa'n twa hûndert fyftich asylsikers.
de direkteur neamt de problemen in grutte finansjele strop fan syn bedriuw	De direkteur neamt de problemen in grutte finansjele strop foar syn bedriuw.
de delsetting waard rekke by loftoanfallen	De delsetting waard rekke by loftoanfallen.
wat is it lêste nijs	Wat is it lêste nijs?
twa frijers freegje om de hân fan de leaflike abbegeel	Twa frijers freegje om de hân fan de leaflike Abigail.
it pliek in fersin te wêze	It bliek in fersin te wêzen.
spylje myn ôfspyllist op sportifij o	Spylje myn ôfspyllist op Spotify.
	Net elk dy't te dik of te tin is, ûntwikkelet in minderweardichheidsgefoel.
de bungelos biede plak oan san twahûndert fyftich asylsûkers	De bungalows biede plak oan sa'n twa hûndert fyftich asylsikers.
hoe seach it er hear doel út	Hoe seach it der hjir doe út?
ik seach mei grutte eagen nei de persoanen yn fonkeljende gewaden	Ik seach mei grutte eagen nei de persoanen yn fonkeljende gewaden.
mei ik myn yndividuwele lok heger stelle as it nut fan it algemien	Mei ik myn yndividuele lok heger stelle as it nut fan it algemien?
as wy nekst dogge dan skoot de kustline de kant nei it lân op	As wy neat dogge, dan skoot de kustline de kant nei it lân op.
it tal oanmeldingen by de skoalle is dit hjir bot groeid	It tal oanmeldingen by de skoalle is dit jier bot groeid.
it dûbelde spoar makket ienen in skerpe bocht	It dûbelde spoar makke ynienen in skerpe bocht.
hja wie jo fyftich mar hja seach der noch folle jonger út	Hja wie al fyftich, mar hja seach der folle jonger út.
hja hat de hele wike al gjin koart mei har hân o	Hja hat de hiele wike al gjin koarts mear hân.
by ús snijt it yn jannewaris	By ús snijt it yn jannewaris.
ik wie dúdlik noch net ta oan de komplikaasjes fan de leafde	Ik wie dúdlik noch net ta oan de komplikaasjes fan de leafde.
hja kaam út amsterdam en foar him wie se in frou fan de wrâld	Hja kaam út Amsterdam en foar him wie se in frou fan de wrâld.
yn de beurs kaam ik neist san moai blea jongfein te sitten	Yn de bus kaam ik neist sa'n moai blier jongfeint te sitten.
kinst dy jo into net oars pakkearrje	Kinst dy auto net oars parkearje?
hy is tige tefreden oer syn nije oanwinst	Hy is tige tefreden oer syn nije oanwinst.
in loads fan it bedriuw gie âlddjirs jûn yn flammen op	In loads fan it bedriuw gie âldjiersjûn yn flammen op.
doet se op dy sneintejûn op bêd geane fielde koz om at griperich	Doe't se op dy sneintejûn op bêd giene, fielde Koos him wat griperich.
der siet in laachhearyp op e fyts dyt tsjin de gevel stie	Der siet in laachje ryp op 'e fyts dy't tsjin de gevel stie.
syn efterbân droech him op hannen	Syn efterban droech him op hannen.
hy rûn ek net hurdes	Hy rûn ek net hurder.
geart hat in protte freonen	Geart hat in protte freonen.
mei in gleske wyn derby beslute we om te wachtsjen oan e moarntyd ta	Mei in gleske wyn derby beslute wy om te wachtsjen oan 'e moarntiid ta.
men wol der earst noch wol ris oer tinke	Men wol der earst noch wolris oer tinke.
de grûn is al fjouwer generaasjes yn hannen fan de famylje	De grûn is al fjouwer generaasjes yn hannen fan de famylje.
de organisaasje slút de kommende jierren in tal lokaazjes fanwege besunigings	De organisaasje slút de kommende jierren in tal lokaasjes fanwegen besunigings.
de romtlike yntegraasje is hjir minder goed slagge	De romtlike yntegraasje is hjir minder goed slagge.
sjoch op ús webside foar mear ynformaasje onrúsprodukten	Sjoch op ús website foar mear ynformaasje oer ús produkten.
ik ha der net by west want ik lis mei gryp op bêd	Ik haw der net by west, want ik lis mei gryp op bêd.
op e nacht foel der in tsjûkpakke snie dat dagen lizzen bleau	Op in nacht foel der in tsjok pak snie dat dagen lizzen bleau.
soenen jo efkes nei myn skonk sjen kinne	Soenen jo efkes nei myn skonk sjen kinne?
jou yn it igelske antwurde op de folgjende fragen	Jou yn it Ingelsk antwurd op de folgjende fragen.
yn de moderne maatskippij fynt in konsirtraasjeplak fan bedriuwen	Yn de moderne maatskippij fynt in konsintraasje plak fan bedriuwen.
justerjûn hawwe de bern in jûnsskuier makke yn it tsjuster	Justerjûn hawwe de bern in jûnskuier makke yn it tsjuster.
wolle jo in bytsje foar de mikrafoans sitten bliuwe	Wolle jo wol in bytsje foar de mikrofoan sitten bliuwe?
yn e fierte singen wy it pears fan de heide	Yn 'e fierte seagen wy it pears fan 'e heide.
us heit prottelet al wat mar dêr waait wol wer oar	Us heit prottelet al wat, mar dat waait wol wer oer.
paragolas binne in ideaal hâld fêst foar klamplanten	Pergola's binne in ideaal hâldfêst foar klimplanten.
hjir arbeide men fan heit op soan yn it stiengad	Hjir arbeide men fan heit op soan yn it stiengat.
sylviaad waard de sneintenachts mei hertklachten opnommen yn it sikehûs m	Sylvia waard de sneintenachts mei hertklachten opnommen yn it sikehús.
hy hat it dizze simmer iepene besikerssintrum mei oprjochte	Hy hat it dizze simmer iepene besikerssintrum mei oprjochte.
ik sjoch wol	Ik sjoch wol.
der foenen sei slachtoffers	Der foelen seis slachtoffers.
der kin wat oerlêst wêze fanwegen de bouaktiviteiten	Der kin wat oerlêst wêze fanwege de bouaktiviteiten.
